SubVertical,total_startups
"Video-based certification, trainings",1
Platform To Discover Healthcare Financing Options,1
online marketplace for food and grocery,1
Tech driven Insurance platform,1
Solution provider for pet needs,1
Online Pharmacy & Health Marketplace,1
Virtual Reality Content Studio,1
Satellite Communication,1
Business development,1
Hyperlocal Content,1
"Creative Design, Brand, Media and Technology Platform Solutions",1
Banking & Fintech Platform,1
Online Certification Courses,1
Digital Vending Machine,1
Construction site operations and analytics platform,1
QSR chain and online food delivery,1
Data as a Service Provider,1
Mens Grooming products etailer,1
Sports Nutrition Supplement etailer,1
Online Chai ordering platform,1
IoT Platform for Bus,1
CRM SAAS Platform,1
Mens Wear,1
Solar Energy harnessing products marketplace,1
VC Funds,1
AI product company For Health and Life Insurane Companies,1
Marketing Cloud for consumer businesses,1
Artificial Intelligence Platform to Raise Funds,1
Babycare Products seller,1
Fruit & vegetable eTailer,1
Invoice discounting\\xc2\\xa0 Marketplace,1
Voice-based assistant platform,1
Online payments platform,1
Cold Press Juice manufacturer & seller,1
Online gadget Repair Services Marketplace,1
Interactive Online Tutoring Platform,1
Tech enabled Fulfilment & Logistics Solutions,1
Contactless Payment Solution,1
Wellness Coach,1
Mobile App Development company,1
Mobile Application for Doctor Consultation,1
Enterprise IoT solutions For Tyre Performance,1
Business Intelligence Solutions,1
Business intelligence and data science Startup,1
Technology enabled equitable healthcare for India,1
B2B Finance & Fulfilment Network,1
Travel ECommerce portal,1
Electric Bike Manufacturer,1
Specialty pharmaceutical,1
Online B2B store for office supplies,1
On-Demand Delivery Service,1
Healthcare based Tech Solutions,1
Construction Material ETailer,1
Online Crowdfunding Platform,1
Technology Enabled Logistics Company,1
Online Tea Store,1
Online marketplace for cars,1
Cloud ECommerce platform,1
Medical Automation platform,1
Cloud-based solutions provider,1
Prosthetics Manufacturers,1
Online Tutorial Marketplace,1
Virtual Reality based gaming platform,1
Health Food etailer,1
Operations and manpower outsourcing,1
Cloud based CRM for Agencies,1
Art & Lifestyle ECommerce Store,1
AI-driven B2B marketing platform,1
Fruits & vegetable eTailer,1
Industrial Tools and Equipments,1
Mobile App Analytics,1
Augmented Reality based Tech platform,1
Online Tea Etailer,1
Agri-Tech supply chain Solution provider,1
Robotic Classes for Students,1
Frozen Meat provider,1
Customer data analytics software,1
Electric Motorcycle Manufacturer,1
Healthcare Service Provider,1
Art & Craft Marketplace,1
SME Lending platform,1
Full-stack career platform,1
Renewable Energy,1
Bicycle-Sharing Platform,1
Crop Technology Solutions,1
image Processing solution,1
"AI, Machine learning Solutions",1
HR Software Services Startup,1
Safe driving Analytics platform,1
B2B Industrial Goods Marketplace,1
Mobile based Retail Market Ecosystem,1
Coding Skill Showcase & Resume Builder,1
Mobile Payments Technology Platform,1
IoT smart Logistics and Asset Management Company,1
Mobile based eCommerce SAAS platform,1
Artificial Intelligence based marketing platform,1
Craft Beer manufacturing company,1
Warehouse Aggregator,1
B2B Wholesale Marketplace in India,1
Maths Learning program,1
Content Management & Productivity platform,1
ECommerce SAAS platform,1
Adult Products Etailers,1
Electric bike rental,1
Subscription Billing & Recurring Payments Software,1
E-Publishing,1
Enterprise Mobility Solutions,1
Fin-Tech Solutions,1
Beauty Products Marketplace,1
Fashion Rental Marketplace,1
Intelligent Tech platform for Finance vertical,1
Apparel & Lifestyle eTailer,1
Video Sharing,1
Private Equity Firm,1
Micro lending company,1
Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,1
Mobile CRM Platform,1
College Education Portal,1
Micro-delivery grocery service,1
Education Workshops & mentoring programs,1
IoT & M2M Solutions,1
Online Truck aggregator platform,1
Open Source Language for Data Science and Machine Learning,1
Home D\\xc3\\xa9cor Product etailer,1
Social gaming platform,1
Mobile Balance Checking App,1
medical grade wearable patch maker,1
Cloud based ERP for Accreditation & ICT,1
Agri Data & Analytics Platform,1
Self riding bike rental program,1
Logistics and Warehousing services,1
Travel,1
End-to-End property management for landlords living away,1
Electric Motorcycle manufacturer,1
Online business-to-business (B2B) marketplace,1
Copper based items etailer,1
Visual Content Marketing,1
Self-Checkout ECommerce App,1
Data Driven Advertising platform,1
Real Estate,1
SME Lending,1
Healthcare related IoT platform,1
Weight loss & Healthcare Info portal,1
Specialty Tea ETailer,1
Invoice discounting platform and SME lending marketplace,1
Mobile Payment Platform,1
Social Healthcare Enterprise,1
Gourmet Food etailer,1
Cold Storage Logistics solutions,1
"DSP, TV Analytics & Cross-Platform advertising",1
Online Services,1
Home Interior Designing Seller,1
online babycare products marketplace,1
Agre-Tech Mobile app,1
"Online Marketplace for Renting Bikes, Electronics & Appliances",1
supply chain automation platform,1
Women Hygiene Product Manufacturer,1
Hybrid Reactor Biodigestor,1
Budget Rooms,1
"On-demand, self-drive bike rental platform",1
Specialized Patient Care platform,1
Cancer radiology,1
Realty Tech Startup solving real life Interior Designing problems,1
Men Grooming product etailer,1
Virtual Reality Startup,1
Online Hair Extension etailer,1
Integrated eLearning content solutions,1
Online custom Shirt retailer,1
Artificial Intelligence based search platform,1
Equity Stock Exchange,1
Online Luxury Tea etailer,1
3D printed experimental Human Liver tissue creator,1
Mobile security solutions,1
hyperlocal logistics service,1
B2B Marketplace for SMBs,1
Educational Platform to Learn Mathematics,1
Online Poker Platform,1
Hotel Management Solution,1
Loyalty program management solutions,1
"Domestic, Commercial, and Industrial Goods Movers",1
Professional Custom creators Marketplace,1
AI based FinTech platform,1
Enterprise Banking Solutions,1
Health Technology platform,1
Education Technology,1
Smartphone Operating System,1
Organic wellness,1
Online platform for Agricultural products,1
Personalized precious Jewellery etailer,1
Private Coaching Classes,1
Online Grocery portal,1
Data Sciences platform,1
Mobile Gaming portal,1
"Online Marketplace For Handicrafts, Handlooms And Local Produce",1
Coaching Services,1
Android utility app suite creator,1
Pet Products eTailer,1
SaaS based Big Data Analytics Platform,1
Workshop Management Software Platform,1
Consumer Finance & Credit Score platform,1
Industrial & Home products marketplace,1
waterless car washing solution,1
Healthcare Analytics Platform,1
Senior Healthcare Services,1
Specialised diagnostics Platform,1
Cyber Security Solutions,1
Women\xe2\x80\x99s Fashion Apparel eTailer,1
Local Commerce Platform,1
Integrated Enterprise Analytics Platform,1
Online Merchandize etailer,1
Handicraft products eTailer,1
Home Healthcare Provider,1
IoT platform for Tyre Performance management & tracking,1
Financial platform for daily wage earning communities,1
Wearable Gaming Platform,1
E-Commerce Logistics Solutions,1
premium dining lounges Chain,1
Child Disorder Information & Education,1
Lending Platform,1
Lending Platform For Micro and Small Enterprises,1
Mobile App for Network of Doctors,1
Health-Tech Platform,1
Online ordering & Delivery of medicines,1
Data Analytics & Audience Management Platform,1
Connecting Small Town Consumers to E-Commerce,1
Scooter sharing app,1
Product Review,1
Supply Chain,1
HR Virtual Agent For Employees,1
Medical Transportation Services,1
Mobile OS creator,1
Media Technology Solutions,1
Online furniture rental startup,1
Home diagnostics services provider,1
Skill Learning Platform,1
Fitness,1
Hyperlocal Video Information Sharing Platform,1
Marketing Research Company,1
Online Test Preparation platform,1
Clinical Imaging Solution Provider,1
Hybrid Cloud technology enabled Media ERP platform,1
Hyperlocal Products & Services marketplace,1
Online Pet Store,1
Aadhaar-based API provider,1
SAAS based mobile application platform,1
"Sweets, Dry Fruits & Handicrafts etailer",1
"smart, energy efficient home appliance manufacturer",1
Smart wheelchair Design and Development,1
Regional Flavours,1
App-based investment platform,1
Women Work wear etailer,1
Online lingerie & Sleepwear etailer,1
B2B Wholesale Apparel Marketplace,1
Dental Protection Solution,1
On-demand product rental marketplace,1
Fresh Agriculture Produces,1
Fresh Produce SCM company,1
Education Technology platform,1
Advertising Platform for Virtual Reality,1
Financial Technology Solutions Provider,1
Enterprise Security Technology platform,1
"Open-market, freight management platform",1
Post-Purchase Customer Engagement Platform\\xc2\\xa0,1
Managed Cloud Environment Solutions,1
Online Pet Products Store,1
Online Beauty products eTailer,1
Home Automation & Security Solutions,1
Deep-technology,1
Beauty and Wellness Industry,1
\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,1
Ecommerce portal for senior citizens,1
Restaurant Automation Solution,1
Cyber Security Startup,1
SAAS Based Media Marketing platform,1
Artificial Intelligence platform,1
On-Demand Drivers,1
Education Services Provider,1
E-commerce Logistics Platform,1
Online Selling,1
Provides Business Insights using Drone Imaginary,1
Smart Scooter manufacturer,1
Ad optimization Platform,1
Mobile Chatbot App,1
Fashion Re-Commerce Platform,1
Location based Classified Mobile app,1
Quick Service Restaurant Chain,1
Supply-chain technology solutions,1
Eyewear etailing platform,1
Industrial robots maker,1
Mobile point of sale services provider,1
Fashion Resale Marketplace,1
Online marketplace for automobiles,1
Truck Fleet Operation platform,1
Specialty Coffee Etailer,1
Kids Focused eTailer,1
Co-Working,1
Cloud based Online Hotel Management Software,1
Social,1
Online Furniture Marketplace,1
CSR and sustainability management platform,1
Quick Service Restaurants,1
Data Analytics Platform,1
K-12 Maths Learning Courses,1
Artificial intelligence-based sales acceleration software platform,1
"digital employee solutions,",1
Fashion ecommerce portal,1
Last mile Delivery Network,1
Cloud Analytics and Management Products,1
Financial Services To MSMEs,1
Enhanced Employee Engagement Platform,1
Agriculture Technology Solutions,1
Primary care medical network,1
Super speciality Hospitals,1
Software-As-a-Service Platform,1
Sports Training & Technology,1
B2B Marketplace for Shoes,1
Residential Project,1
Hotel Aggregator Platform,1
Machine Learning Access platform,1
Enterprise human resources management platform,1
AI based data analytics platform,1
Unified Global Investments Ecosystem,1
Mobile Learning Management Platform,1
Pregnancy & Baby Care product etailer,1
Unified Digital Health Platform,1
Wearable Fitness Bands,1
Automotive,1
Robotic InspectionStartup,1
Digital Lending,1
Healthy & Nutrition based snacks online platform,1
Logistics Solutions,1
Online Micro-Lending Platform,1
Retailer of baby and toddler products,1
Mobile e-Sports,1
AI-Based Energy Optimisation and Control Provider,1
Advertising Technology,1
Medicine Intake Reminder System,1
B2B commerce Marketplace,1
Telecom & IoT platform,1
Fintech Product Development & Services Startup,1
Medical Technology Provider,1
Oxygen Optimiser Manufacturer,1
Online Gifting Platform,1
Business & SME Loans provider,1
Software solutions for M&As,1
Blended Learning Delivery App for Schools & Corporates,1
Home Furnishing rental marketplace,1
Online marketplace for used automobiles,1
ECommerce Logistics solutions,1
Online Baby care Products,1
Healthcare Technology Solutions,1
Speech Recognition Solutions,1
B2B Marketplace for traders,1
"Genetic Screening, DNA Diagnostics Labs & Research Centers",1
Medical Devices,1
Fashion ECommerce Portal,1
Cloud Data Center Solutions provider,1
Packaging Material Marketplace,1
Online Book etailer,1
Edutainment platform,1
B2B platform for medical supplies,1
Last Minute Hotel Bookings mobile marketplace,1
Road Safety Analytics,1
Restaurant Management Solutions,1
Cloud Based Practice Management Software,1
Cyber Security Solution provider,1
Beauty Products & Training to Salons & Spas,1
Delivery Service,1
MSME Finance,1
Data Driven Intelligence Solutions Platform,1
Online Raw Meat E-tailer,1
Geospatial Technology-based SaaS solutions,1
Raw Pressed Juices manufacturer,1
ERP solutions provider,1
Unboxed & refurbished electronic products marketplace,1
Fashion ECommerce App,1
A Doctor-Patient Engagement Platform,1
Digital Marketing Agency,1
Children Education Platform,1
Book Trucks Online,1
Education Sector Lending,1
Home Automation Solutions,1
Online Healthcare Aggregator,1
Women Focussed Digital Media Platform,1
Analytics,1
Project Management tool,1
Process management startup,1
Wearable Technology platform & devices,1
Building automation system,1
Customer Success Software for B2B SaaS,1
Financial Technology Research Platform,1
Private Fashion Brand etailer,1
Hyperlocal Shopping App,1
Enterprise customer engagement solutions,1
Travel-Focused Tech Startup,1
Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,1
Venture Capital,1
Platform based on 3D printing and Digital Manufacturing,1
Gamification Platform to train Sales People,1
Beauty Products Online Marketplace,1
Construction material eTailer,1
Workspace Rentals,1
Digital Financial Services Platform,1
Cold Chain monitoring solution,1
Building material online store,1
Visual and Interactive communications Solutions,1
Eco-friendly consumer & packaging products,1
Online jewellery marketplace,1
Enterprise Cloud Based Data Processing,1
Bike Taxi,1
Personalized Learning,1
Online Video Creation Platform,1
Online Grocer,1
Cloud-based construction,1
Image Analysis Solutions,1
Competitive Exam learning platform,1
Automotive Design and Engineering company,1
Interior Design & Home D\\xc3\\xa9cor Solutions,1
Online Investment,1
Clean Tech Startup,1
NanoTech product developer,1
Packaging Artwork Management software,1
Online Tea etailer,1
Auto Parts & Accessories eTailer,1
Eyewear & Accessories etailer,1
Children Education & Information platform,1
Energy management solutions provider,1
IoT & SAAS Solutions for Transportation Industry,1
Platform for Social Causes,1
Sales Solutions for Fashion Brands,1
Interactive Tech-Support Guides,1
Direct-to-Farmer Mobile-Based Retail platform,1
Tech-enabled Fashion Talent platform,1
Online Pharmacy store,1
Online Platform Selling Indian Tea Globally,1
Door Step Delivery platform,1
Online Grocery Etailer,1
Fashion and Shopping,1
Big Data based analytics platform,1
Celebrity fashion accessories and merchandise,1
Credit Scoring Platform,1
Entry level hiring platform,1
Marketplace for Health Foods,1
"Online Portal for Diet,fitness and Beauty",1
Online Grocery,1
Sports Focused Healthcare Startup,1
Tech-focused cargo transport startup,1
Healthcare services,1
"Real Estate, ERP",1
B2C Online Loans Marketplace,1
Distance Education Learning Platform,1
Bike Rental Platform,1
Online Used Car marketplace,1
Point-of-Sale services,1
On-Demand Delivery Startup,1
Weigh Loss Coaching,1
Local Language Health Content App,1
Skincare Speciality services,1
Dreams fulfilling marketplace,1
Pre-Owned Fashion marketplace mobile app,1
premium Tea and Coffee,1
Solar Power Solutions,1
Media Analytics,1
B2B marketplace for Industrial products,1
Safety & Hygiene Products etailer,1
Online Jewellery Store,1
Consulting,1
Digital Onboarding Solution,1
Cash Flow Management Solution for Businesses,1
Retail Food & Snack Offline centres,1
Software-As-A-Service Platform,1
An Online Platform That Connects Ayurveda Doctors With Patients,1
Iot Application Platform In Agriculture,1
Real time data analytics & reporting,1
SME Marketing Management Solution,1
Hospital Management Software,1
Omni-Channel Platform,1
Women Fashion Portal,1
IoT solutions for home automation applications,1
Marketing & Customer Analytics Solutions,1
LiFi based wireless communication provider,1
Hospitality,1
Agriculture Supply Chain management solutions,1
Online Vegetable eTailer,1
Data Sciences Platform,1
equipment rental and leasing company,1
Adaptive Fraud Intelligence Platform,1
Regional Operating System for Smartphones,1
Invoice discounting marketplace,1
Supply Chain Equipment & Services provider,1
Marketplace for organic products,1
B2B marketplace for Farmers & Retailers,1
Ethnic Products marketplace,1
Private Label Fashion etailer,1
Online Eyewear eTailer,1
Online event ticketing Platform,1
Interior Painting Automation,1
Salons & Spa Chain,1
Housing Finance For Low-Income Families,1
Designer consumer products Marketplace,1
IT Risk Assessment and Digital Security Services provider.,1
Online Learning App,1
Audio Technology Solutions,1
Smartphone OS Developer,1
SaaS platform for SMEs,1
Engineering Interview facilitation platform,1
Mobile Game Publisher for Indian audience,1
Office Products Super Store,1
Food Related Marketing & Branding platform,1
Waste Management,1
Online marketplace for kitchen products,1
End-to-End Seller e-commerce solutions Provider,1
online fashion brand store,1
Medical Devices Kit manufacturer,1
Big Data,1
E-Books,1
Courier Logistics & Order management Solutions,1
Data Analytics Company,1
Mobility Devices for differently abled,1
Cybersecurity Specialist,1
Cold pressed Juice maker,1
Cloud data protection and management solutions,1
IT Security & Data Management Services,1
Health Diagnostic Solutions,1
Auto Spare Parts eTailer,1
Off-grid solar products platform,1
Assisting Visually Impaired to learn through Braille,1
Healthcare facilities at doorstep,1
Medical Diagnostic Solutions,1
Post merger Integration Partners,1
Data Analytics based Customer Management Services,1
Family Stem Cell Banking Services,1
Largest Trucking Platform,1
Food Ordering and Restaurant Discovery,1
Fin-Tech,1
Farming rental equipment provider,1
Furniture eTailer,1
Indoor Skydiving Sports Provider,1
Household packaging & Storage product manufacturer,1
Technology,1
Intelligent Sales Prospecting Platform,1
Insurance Marketplace for the Rural Sector,1
"Furniture, appliances Portal",1
Organic Food eTailer,1
Software Solutions,1
Hygiene,1
Online Marketplace for Construction Material,1
DIY project Kits seller,1
Gesture based\\xc2\\xa0 Smartwatch manufacturer,1
Agricultural Loan,1
Student accommodation platform,1
App based Logistics & Distribution platform,1
Travel Ticket Booking Software,1
contextual mobile advertising,1
Connectivity platform for local grocery stores,1
Healthy food manufacturing & sales startup,1
Auto Insurance,1
Consumer Financing Platform,1
An Artificial Intelligence-Based Recruitment Platform,1
Hemostatic Dressing Solutions,1
Mutual Fund Investment App,1
Vehicle loan approval platform,1
Healthtech IoT platform,1
Express Logistics Network,1
Telecom & Media IT services company,1
Smart Learning products,1
WiFi Analytics Platform,1
Logistics Solutions provider,1
Personal care product etailer,1
Parking Technology Platform,1
Recovery software,1
Furniture Rental Platform,1
Banking Software License Platform,1
Cold-press Juices manufacturer,1
Study Material Marketplace,1
Predictive Healthcare platform,1
Mobile Games Development Firm,1
Drone operations management platform,1
ECommerce Marketing Software,1
Hygiene care product manufacturer,1
Cloud-based product discovery platform,1
Executive Education Provider,1
Education Institution Management Solutions,1
Cloud based Virtual Servers,1
eyewear eTailer,1
Audio Visual Digital Content creators for Brands,1
Content marketing platform,1
Software & Mobile app development platform,1
Custom Furniture Online,1
Startup Funding Deal Discovery & Execution platform,1
Grocery Delivery,1
Mobile analytics and marketing,1
B2B Procurement Marketplace for Office Products,1
Healthcare Product Manufacturer,1
"Consumer Electronics, Home Appliances",1
AI platform for hospitality industry,1
Security-as-a-Service solution provider,1
Patient Financing Platform,1
AI Based Expense Management Platform,1
Online fresh fruits and grocery store,1
B2B Marketplace for Handicrafts,1
Footwear & Leather B2B App,1
TV to Mobile audience Platform,1
Elearning,1
POS For Online Ordering,1
Predictive Care Platform,1
Location tracking solutions,1
Mobile Security App development & Distribution,1
Online Fashion Apparel Retailer,1
Fleet management and asset monitoring platform,1
Turnkey Solar Solutions,1
Low carb food for Diabetics,1
Supplychain Finance,1
Mobile repair and Refurbishment platform,1
Pregnancy & Baby Care etailer,1
Luxury Fashion Marketplace,1
Indian Burger Brand,1
Last-mile retail transaction technology,1
B2B Foodtech,1
Ecommerce enabler platform,1
Bike and Taxi pooling online platform,1
Online Healthcare provider,1
eCommerce Marketplace,1
Relocation Service provider,1
Online Marketplace for books,1
Real money based gaming startup,1
Sustainable Green Tech Solution developer,1
Freight Logistics Marketplace,1
Home Healthcare Aggregator,1
IoT and SaaS based transportation platform,1
Cloud Solutions provider,1
Home-Based Healthcare provider,1
Fragrances & Perfume eTailer,1
Cancer therapeutic Info & Solutions,1
IT services & Talent collaboration services startup,1
Beauty and Grooming,1
Micro finance institution providing small ticket unsecured loans to women,1
VR based Spiritual platform,1
Online Hotel Reservation Platform,1
Herbal energy shot maker,1
Agriculture Supply Chain solutions,1
Restaurant & Hotel CRM platform,1
SaaS-based web optimisation and marketing platform,1
Peer-to-Peer Lending Platform,1
Car Wash,1
e-learning Platform,1
Nanotechnology Company Specializing In Graphene,1
Third Party Logistics provider,1
Online/ Mobile Jewellery Retailer,1
Robotics,1
Personal Assistant,1
Online Marketplace for Schools,1
Digital Lending Platform In Logistics,1
Individualised Progressive Learning Program,1
Online Retailing,1
Doctor Patient Communication platform,1
Ecommerce Portal for Used Goods,1
Software & Mobile development services,1
Software Solutions for Auto Dealership,1
Tech Accessories e-tailer,1
Mobile Accessories etailer,1
AI Driven Health tech Platform,1
Weather Forecast Platform,1
IoT based Tech Startup,1
Clinical research and data analytics,1
Full Service Ecommerce Agency,1
Social Business Incubator & Fund,1
Online Eyewear Shopping Portal,1
Car Retail,1
Online vehicle service booking platform,1
AI-powered deep learning solutions,1
Decision Sciences Analytics Solutions,1
Social Fashion ECommerce Discovery platform,1
Electric Vehicle,1
Med-tech Platform Providing Care For Newborns,1
Digital Entertainment for Children,1
"""""""Women\\'s Fashion Clothing Online Platform""""""",1
Supply Chain Solutions Provider,1
Drone Manufacturing,1
Mobile App Tech Solutions,1
Banking,1
Home Furnishing & Building material marketplace,1
Enterprise Work Management Software,1
Healthcare related Services provider,1
E-commerce Fulfilment Platform,1
Data Analytics (SaaS),1
Home Decor and Online Fashion Portal,1
Gamified Learning App,1
Field Force Automation System,1
Premium Tea & Coffee Capsules maker,1
Video Platform,1
Data Analytics Firm,1
IoT based air pollution controller,1
Agriculture Technology,1
B2B SAAS based product,1
Converged Backup & Data Protection Solutions for Enterprises,1
Medical Video Consultation platform,1
Online Medicine,1
Doctor-Consultation App,1
Artificial Intellegence,1
Imaging Technology for Armed Forces,1
On-Demand Logistics Service provider,1
Consumer IoT Startup,1
Construction Material Marketplace,1
Vegetables & Fruits Supply Chain,1
Online Meat And Seafood Ordering Startup,1
Preventive Health Checkup,1
Online Reseller Network,1
Online B2B Marketplace,1
Baby Monitoring Devices manufacturer,1
Automobile,1
Technology-Empowered Healthcare Solutions,1
Tech driven Logistic & distribution platform,1
Bot Protection Solutions,1
Cloud Based Data Protection Solution,1
"Organic,\xc2\xa0 Natural\xc2\xa0 Food substitute manufacturer",1
Logistics Management Software,1
Mobile Gaming Platform,1
Connected Smart Home Solutions,1
An AI Platform Offering Automated Customer Service Software,1
AI-powered anti-fraud solutions,1
Payments Platform for Marketplaces and Fintechs,1
Car Tracking & Safety System,1
Healthcare training programs,1
Loans and Services To Affordable Private Schools in India,1
Child Learning & Development Platform,1
AI-based chatbot,1
Online Medical equipment supplier,1
Audit automation Solutions,1
Health Food Restaurant Chain,1
AI-based Software as a Service Solution provider,1
Clinical and Wearable Diagnostic Product creator,1
